date,equipment_id,equipment_name,site,area,vibration_mm_s,bearing_temp_c,oil_pressure_bar,hours_since_service,defects_flagged,will_fail
2026-05-09,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.27,48.4,5.27,1674,0,0
2026-05-10,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.44,48.1,5.18,1687,0,0
2026-05-11,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.55,46.7,5.34,1694,0,0
2026-05-12,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.35,46.1,5.21,1701,0,0
2026-05-13,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.25,47.4,5.25,1709,0,0
2026-05-14,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.4,46.3,5.27,1718,0,0
2026-05-15,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.31,46.9,5.36,1725,0,0
2026-05-16,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.24,48.7,5.37,1736,0,0
2026-05-17,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.22,48.6,5.21,1748,0,0
2026-05-18,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.26,47.9,5.33,1762,0,0
2026-05-19,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.21,47.4,5.35,1770,1,0
2026-05-20,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.44,47.5,5.28,1777,1,0
2026-05-21,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.21,48.1,5.25,1789,0,0
2026-05-22,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.37,46.7,5.27,1801,0,0
2026-05-23,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.31,46.2,5.25,1807,0,0
2026-05-24,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.36,47.8,5.28,1816,0,0
2026-05-25,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.28,47.0,5.38,1829,0,0
2026-05-26,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.27,47.9,5.21,1843,0,0
2026-05-27,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.18,47.5,5.24,1851,0,0
2026-05-28,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.26,48.2,5.3,1859,0,0
2026-05-29,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.4,45.3,5.29,1871,0,0
2026-05-30,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.4,45.1,5.36,1885,0,0
2026-05-31,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.28,46.8,5.41,1892,0,0
2026-06-01,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.19,46.6,5.29,1904,0,0
2026-06-02,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.24,45.4,5.31,1916,1,0
2026-06-03,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.16,47.1,5.41,1927,1,0
2026-06-04,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.17,46.3,5.37,1934,0,0
2026-06-05,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.3,47.1,5.3,1946,0,0
2026-06-06,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.34,45.9,5.33,1960,0,0
2026-06-07,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.11,45.6,5.34,1968,0,0
2026-06-08,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.11,47.2,5.28,1974,0,0
2026-06-09,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.26,45.3,5.41,1988,0,0
2026-06-10,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.11,45.9,5.34,2001,0,0
2026-06-11,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.3,46.7,5.39,2011,1,0
2026-06-12,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.26,45.0,5.3,2020,0,0
2026-06-13,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.03,46.6,5.41,2026,0,0
2026-06-14,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.25,44.9,5.38,2036,0,0
2026-06-15,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.28,46.7,5.35,2045,0,0
2026-06-16,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.12,44.4,5.37,2056,0,0
2026-06-17,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.2,45.5,5.33,2066,0,0
2026-06-18,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.2,46.7,5.33,2074,0,0
2026-06-19,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.24,46.4,5.35,2085,0,0
2026-06-20,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.27,44.7,5.36,2097,0,0
2026-06-21,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.21,44.9,5.42,2111,0,0
2026-06-22,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.07,44.7,5.31,2125,0,0
2026-06-23,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.03,46.2,5.44,2133,0,0
2026-06-24,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.01,44.3,5.46,2145,0,0
2026-06-25,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.02,46.2,5.38,2152,0,0
2026-06-26,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.13,45.2,5.37,2160,0,0
2026-06-27,EQ-CNV-01,Bauxite Conveyor BC-1,Lanjigarh Refinery,Crusher Plant,2.09,46.2,5.39,2171,0,0
2026-03-30,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.14,44.8,5.24,635,0,0
2026-03-31,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.21,46.8,5.03,649,1,0
2026-04-01,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.3,48.8,5.02,655,0,0
2026-04-02,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.42,47.6,5.01,665,1,0
2026-04-03,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.53,50.4,5.01,676,1,0
2026-04-04,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.86,50.6,4.99,684,0,0
2026-04-05,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.75,52.3,4.82,690,2,0
2026-04-06,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.99,51.1,4.92,700,0,0
2026-04-07,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,2.93,52.3,4.86,706,2,0
2026-04-08,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.2,54.4,4.68,712,1,0
2026-04-09,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.24,55.7,4.63,719,2,0
2026-04-10,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.51,56.3,4.68,729,1,0
2026-04-11,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.52,56.3,4.62,738,2,0
2026-04-12,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.52,57.0,4.48,751,3,0
2026-04-13,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.85,58.0,4.46,760,2,0
2026-04-14,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.76,61.1,4.54,770,2,0
2026-04-15,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,3.9,62.2,4.49,776,1,0
2026-04-16,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,4.09,61.9,4.39,783,3,0
2026-04-17,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,4.23,62.9,4.39,796,0,0
2026-04-18,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,4.26,64.6,4.18,804,2,0
2026-04-19,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,4.52,64.7,4.25,815,0,0
2026-04-20,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,4.68,67.0,4.17,828,3,0
2026-04-21,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,4.66,66.3,4.17,842,2,0
2026-04-22,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.0,68.3,4.05,856,1,0
2026-04-23,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.04,68.7,4.07,868,1,0
2026-04-24,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.12,68.2,4.07,882,0,0
2026-04-25,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.08,70.6,3.89,892,2,0
2026-04-26,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.3,70.8,3.88,905,3,0
2026-04-27,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.59,73.3,3.75,917,3,0
2026-04-28,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.44,73.8,3.82,927,1,0
2026-04-29,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.67,74.0,3.81,936,1,0
2026-04-30,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.83,76.0,3.67,949,2,0
2026-05-01,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,5.88,77.3,3.75,959,3,0
2026-05-02,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.16,77.3,3.67,971,2,0
2026-05-03,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.29,77.9,3.55,980,2,0
2026-05-04,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.41,80.2,3.53,993,3,0
2026-05-05,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.54,78.7,3.51,1007,1,0
2026-05-06,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.52,82.4,3.35,1015,2,0
2026-05-07,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.67,83.2,3.37,1027,1,0
2026-05-08,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.68,82.7,3.29,1037,3,0
2026-05-09,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,6.94,84.7,3.23,1051,0,0
2026-05-10,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.03,84.0,3.25,1061,1,0
2026-05-11,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.18,87.3,3.11,1075,2,0
2026-05-12,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.19,86.8,3.14,1087,1,0
2026-05-13,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.47,87.5,2.99,1094,2,0
2026-05-14,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.38,89.5,2.97,1104,2,0
2026-05-15,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.68,88.8,3.0,1115,1,0
2026-05-16,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.78,91.7,2.99,1129,2,0
2026-05-17,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.89,92.2,2.8,1141,1,0
2026-05-18,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,7.89,92.7,2.75,1151,1,0
2026-05-19,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,8.05,92.7,2.82,1162,1,0
2026-05-20,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,8.27,95.8,2.71,1170,1,0
2026-05-21,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,8.38,94.3,2.61,1180,3,0
2026-05-22,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,8.35,95.8,2.7,1188,2,0
2026-05-23,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,8.63,97.7,2.67,1198,3,1
2026-05-24,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,8.75,97.7,2.5,1206,2,1
2026-05-25,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,8.79,98.9,2.48,1215,2,1
2026-05-26,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.04,100.5,2.46,1229,1,1
2026-05-27,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.07,101.0,2.5,1238,1,1
2026-05-28,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.26,103.4,2.35,1252,2,1
2026-05-29,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.34,103.1,2.32,1265,2,1
2026-05-30,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.38,105.3,2.21,1279,2,1
2026-05-31,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.53,104.1,2.26,1286,1,1
2026-06-01,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.69,105.7,2.24,1293,2,1
2026-06-02,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.68,105.6,2.04,1303,3,1
2026-06-03,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.78,107.4,2.11,1315,3,1
2026-06-04,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.82,109.4,1.95,1321,1,1
2026-06-05,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,9.97,110.5,1.95,1328,2,1
2026-06-06,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.31,109.2,1.87,1337,2,1
2026-06-07,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.34,113.0,1.82,1348,1,1
2026-06-08,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.34,111.2,1.86,1360,2,1
2026-06-09,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.64,114.7,1.77,1372,1,1
2026-06-10,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.59,114.8,1.7,1379,1,1
2026-06-11,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.91,116.7,1.8,1392,1,1
2026-06-12,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.85,115.4,1.67,1403,2,1
2026-06-13,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,10.98,116.0,1.54,1416,2,1
2026-06-14,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.19,118.5,1.53,1427,2,0
2026-06-15,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.37,119.9,1.54,1437,1,0
2026-06-16,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.51,120.1,1.44,1447,2,0
2026-06-17,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.39,120.5,1.48,1461,1,0
2026-06-18,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.71,123.2,1.44,1467,1,0
2026-06-19,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.67,121.6,1.27,1481,2,0
2026-06-20,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.79,124.8,1.32,1491,3,0
2026-06-21,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,11.95,123.5,1.17,1499,2,0
2026-06-22,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,12.13,126.1,1.25,1507,2,0
2026-06-23,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,12.15,126.8,1.04,1518,2,0
2026-06-24,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,12.44,127.5,1.17,1524,2,0
2026-06-25,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,12.61,129.1,0.99,1534,3,0
2026-06-26,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,12.55,130.0,1.07,1541,2,0
2026-06-27,EQ-CNV-02,Coke Conveyor BC-7,Jharsuguda Smelter,Material Handling,12.72,130.2,1.01,1554,1,0
2026-03-30,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.94,52.3,4.96,514,0,0
2026-03-31,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.91,53.3,4.92,522,0,0
2026-04-01,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.92,53.0,4.85,536,1,0
2026-04-02,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.96,51.8,5.01,542,0,0
2026-04-03,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.17,51.9,4.94,555,0,0
2026-04-04,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.07,53.6,4.98,563,0,0
2026-04-05,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.09,54.0,4.94,570,0,0
2026-04-06,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.95,53.9,4.92,582,0,0
2026-04-07,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.16,53.1,4.99,596,0,0
2026-04-08,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.93,53.1,4.98,608,0,0
2026-04-09,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.05,52.0,4.98,620,0,0
2026-04-10,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.14,53.0,4.9,630,0,0
2026-04-11,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.98,53.9,4.9,639,2,0
2026-04-12,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.05,52.9,4.89,648,0,0
2026-04-13,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.94,53.3,4.87,662,0,0
2026-04-14,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.1,53.6,4.9,676,0,0
2026-04-15,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.97,52.3,4.88,688,0,0
2026-04-16,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.12,52.7,4.95,696,0,0
2026-04-17,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.14,53.2,4.95,702,1,0
2026-04-18,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.93,51.8,5.0,714,0,0
2026-04-19,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.08,53.6,5.0,726,0,0
2026-04-20,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.08,54.2,4.98,739,0,0
2026-04-21,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.14,52.3,4.82,753,0,0
2026-04-22,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.91,52.1,4.81,761,0,0
2026-04-23,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.1,52.6,4.85,767,0,0
2026-04-24,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.99,53.9,4.99,778,0,0
2026-04-25,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.19,52.8,4.89,784,0,0
2026-04-26,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.93,52.3,5.0,798,0,0
2026-04-27,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.08,53.5,5.0,811,0,0
2026-04-28,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.05,52.8,4.93,817,0,0
2026-04-29,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.15,52.1,4.95,828,0,0
2026-04-30,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.12,52.3,4.87,840,0,0
2026-05-01,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.19,52.9,4.88,850,0,0
2026-05-02,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.97,53.7,4.86,859,0,0
2026-05-03,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.99,53.3,4.84,866,0,0
2026-05-04,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.06,51.5,4.98,872,0,0
2026-05-05,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.19,54.1,4.92,882,0,0
2026-05-06,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.0,52.2,4.92,888,0,0
2026-05-07,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.93,52.6,4.98,896,0,0
2026-05-08,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.01,51.6,4.94,908,0,0
2026-05-09,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.0,53.2,4.85,921,0,0
2026-05-10,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.05,52.8,4.96,932,0,0
2026-05-11,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.96,53.3,4.85,939,0,0
2026-05-12,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.18,52.1,4.96,947,1,0
2026-05-13,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.96,54.2,4.93,961,0,0
2026-05-14,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.09,53.3,4.88,969,0,0
2026-05-15,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.11,52.9,4.87,980,0,0
2026-05-16,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.03,52.8,4.87,989,0,0
2026-05-17,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.22,52.5,4.87,1003,0,0
2026-05-18,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.04,52.5,4.93,1011,0,0
2026-05-19,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.06,53.5,4.88,1018,0,0
2026-05-20,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.13,53.8,4.92,1030,0,0
2026-05-21,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.04,53.4,4.99,1042,0,0
2026-05-22,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.0,52.4,4.95,1049,0,0
2026-05-23,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.21,53.1,4.81,1061,0,0
2026-05-24,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.12,51.9,4.99,1073,0,0
2026-05-25,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.12,52.1,4.97,1079,1,0
2026-05-26,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.2,53.1,4.97,1089,0,0
2026-05-27,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.1,53.5,4.89,1101,0,0
2026-05-28,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.04,53.3,4.96,1114,0,0
2026-05-29,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,1.94,53.3,4.95,1122,1,0
2026-05-30,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.22,54.5,4.89,1128,0,0
2026-05-31,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.18,53.4,4.83,1142,0,0
2026-06-01,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.14,54.2,4.84,1149,0,0
2026-06-02,EQ-PMP-01,Slurry Pump P-12,Chanderiya Zinc,Hydrometallurgy,2.22,54.2,4.93,1159,0,0
